"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ISL11",4.46208113030618e-21,0.860289999382217,0.594,0.231,1.15791005331445e-16,"5","ISL1"
"PSIP1",5.1394288994018e-21,0.549461956734264,0.29,0.062,1.33368179939477e-16,"5","PSIP1"
"IDS1",6.2860058897215e-21,0.977420744697752,0.949,0.638,1.63121852838273e-16,"5","IDS"
"ELAVL4",2.2219140970914e-20,0.748878689464691,0.37,0.104,5.76586708195218e-16,"5","ELAVL4"
"MIR7-3HG2",3.39589710680759e-20,0.802234240673145,0.696,0.314,8.81235299216568e-16,"5","MIR7-3HG"
"PBXIP1",5.45093254577954e-20,0.894825489767378,0.652,0.303,1.41451699562979e-15,"5","PBXIP1"
"TIMP21",8.04135296996146e-20,0.804072262946585,0.696,0.301,2.086731095705e-15,"5","TIMP2"
"BHLHE41",2.25341966150363e-19,0.419193728753254,0.261,0.054,5.84762402160192e-15,"5","BHLHE41"
"PCP4",3.79006403033763e-19,0.765250391491191,0.681,0.295,9.83521615872614e-15,"5","PCP4"
"PRKACB",4.0492654761941e-19,0.630106419442498,0.312,0.079,1.05078439107237e-14,"5","PRKACB"
"PLXNB21",8.34770282447592e-19,0.895579590279169,0.754,0.425,2.1662288829515e-14,"5","PLXNB2"
"MT-ATP61",1.38343765199177e-18,0.414334239891742,1,0.992,3.59002070691864e-14,"5","MT-ATP6"
"SLC7A5",1.53169080410585e-18,0.767991559514051,0.377,0.115,3.97473763665469e-14,"5","SLC7A5"
"SSTR1",2.0838314885037e-18,0.687017494345706,0.333,0.09,5.40754271266709e-14,"5","SSTR1"
"FXYD21",2.58174594132888e-18,0.804758731679843,0.949,0.679,6.69963071774844e-14,"5","FXYD2"
"LEPR",6.35258039568157e-18,0.934893185981586,0.326,0.098,1.64849461267937e-13,"5","LEPR"
"FAM167A",8.95617727305651e-18,0.631180552943497,0.413,0.134,2.32412800235816e-13,"5","FAM167A"
"CADM1",1.58291521587893e-17,0.70023371279459,0.435,0.155,4.10766498520582e-13,"5","CADM1"
"INSM1",3.80431934574032e-17,0.764725544946095,0.587,0.255,9.87220870219613e-13,"5","INSM1"
"CPE1",3.99253918645912e-17,0.716440379678728,0.993,0.721,1.03606391888614e-12,"5","CPE"
"ID21",6.01218411480355e-17,1.02203183030858,0.659,0.335,1.56016177779152e-12,"5","ID2"
"PCLO",7.50803618729068e-17,0.59006240243983,0.319,0.09,1.94833539060193e-12,"5","PCLO"
"BAIAP2",1.72673942252344e-16,0.623065515449259,0.362,0.116,4.48088880144832e-12,"5","BAIAP2"
"CNP",1.86659756437625e-16,0.619311548421929,0.688,0.373,4.84382067955636e-12,"5","CNP"
"TMEM64",4.00583831453701e-16,0.390132865131041,0.261,0.064,1.03951504262235e-11,"5","TMEM64"
